File name,Minimum threshold,Pixel Number,Area
C:/Users/cgk94/Desktop/Pxex_example\C1.png,42,330002,330002
C:/Users/cgk94/Desktop/Pxex_example\C14.png,40,496981,496981
C:/Users/cgk94/Desktop/Pxex_example\C5.png,42,350540,350540
C:/Users/cgk94/Desktop/Pxex_example\C65.png,46,287781,287781
C:/Users/cgk94/Desktop/Pxex_example\Cali.png,53,479085,479085
C:/Users/cgk94/Desktop/Pxex_example\G1.png,46,557929,557929
C:/Users/cgk94/Desktop/Pxex_example\G5.png,44,512581,512581
C:/Users/cgk94/Desktop/Pxex_example\G65.png,52,518049,518049
C:/Users/cgk94/Desktop/Pxex_example\R1.png,43,297006,297006
C:/Users/cgk94/Desktop/Pxex_example\R5.png,46,313485,313485
C:/Users/cgk94/Desktop/Pxex_example\R65.png,48,280638,280638
C:/Users/cgk94/Desktop/Pxex_example\Ro1.png,40,260712,260712
C:/Users/cgk94/Desktop/Pxex_example\Ro5.png,44,258929,258929
C:/Users/cgk94/Desktop/Pxex_example\Ro65.png,41,245310,245310
C:/Users/cgk94/Desktop/Pxex_example\T1.png,46,249194,249194
C:/Users/cgk94/Desktop/Pxex_example\T5.png,47,268793,268793
C:/Users/cgk94/Desktop/Pxex_example\T65.png,48,304774,304774
